area,date,sampler,crab.number,sex,maturity,carapace.width,weight,chela.length,chela.height,shell.condition,missing.legs,abdomen.width,moult.stage,claw.weight,claw.weight.dry,claw.colour,claw.hardness
PEI,1986-07-07,Mallet P. / Moriyasu M.,1,1,mature,88,274,38,19,old,1*********,22,C,9.01,3.3,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,2,1,mature,88,266,39,19,old,1*********,22,C,9.36,3.78,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,3,1,mature,88,276,38,19,old,******1***,22,C,8.87,3.52,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,4,1,,92,302,34,17,old,2****1****,23,C,7.02 regenerated,2.61,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,5,1,mature,95,356,44,22,old,***1******,24,C,13.41,4.87,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,6,1,mature,81,218,37,21,old,**********,21,C,9,9.44,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,7,1,mature,85,282,40,19,old,***1**2***,23,C,9.78,3.44,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,8,1,mature,92,258,42,20,old,**1*****1*,22,C,10.88,4.35,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,9,1,mature,92,318,42,21,old,*****2****,23,C,11.84,4.7,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,10,1,mature,83,284,35,17,new,**********,22,C,5.51,1.58,pink,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,11,1,mature,71,166,34,15,old,***1*2****,20,C,5.18,2.03,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,12,1,mature,82,212,37,19,old,****11****,21,C,6.95,5.53,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,13,1,mature,74,152,32,16,new,**********,19,C,4.71,1.94,pink,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,14,1,mature,96,310,44,22,old,*1*1*1****,24,C,13.41,4.99,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,15,1,mature,95,322,44,22,old,*1***1***1,23,C,14.04,4.9,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,16,1,mature,95,366,43,22,old,2*********,24,C,12.4,4.52,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,17,1,mature,81,216,35,19,old,*******1**,21,C,6.62,2.63,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,18,1,mature,93,300,39,21,old,*****1**11,24,C,10.3,3.89,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,19,1,mature,82,212,35,19,old,**1***1***,20,C,7.55,2.92,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,20,1,mature,85,258,41,21,old,**********,23,C,10.19,3.82,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,21,1,immature,95,262,36,18,new,1*********,22,C,6.25,1.73,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,22,1,immature,84,266,35,17,new,****2*****,23,,5.65,1.66,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,23,1,mature,78,186,32,15,old,2*********,21,C,4.33,1.77,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,24,1,immature,90,224,34,17,new,**********,22,C,5.35,1.58,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,25,1,immature,92,264,34,17,new,**********,23,C,5.35,1.59,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,26,1,immature,93,300,40,20,new,*1********,23,C,9.03,2.42,pink,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,27,1,immature,81,158,28,14,old,**111***1*,21,C,3.45,1.22,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,28,1,immature,120,686,63,32,new,**********,28,C,34.47,6.6,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,29,1,immature,105,320,44,20,new,**********,24,C,8.93,2.45,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,30,1,immature,98,296,39,19,new,**1*******,24,C,7.58,1.99,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,31,1,mature,89,302,42,20,old,2*********,23,C,10.34,3.98,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,32,1,immature,92,292,36,18,new,*1********,25,C,6.75,2.42,pink,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,33,1,immature,91,222,32,16,new,******1***,24,C,4.51,1.45,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,34,1,mature,95,326,41,21,old,*****1****,24,C,10.22,3.58,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,35,1,mature,124,456,65,32,new,11**1*****,32,C,22.28,5.18,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,36,1,mature,81,188,35,18,old,*1***1****,21,C,7.16,2.69,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,37,1,mature,123,734,57,30,new,**********,30,C,27.85,6.38,pink,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,38,1,mature,95,300,41,22,new,**********,24,C,10.53,2.43,pink,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,39,1,mature,135,902,74,36,new,**********,30,C,48.99,7.13,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,40,1,mature,131,834,65,34,new,*******1**,29,C,38.52,6.1,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,41,1,mature,117,562,59,31,new,**********,27,C,20.85,5.18,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,42,1,mature,91,268,40,19,old,***1*1****,23,C,9.4,3.66,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,43,1,mature,108,,53,28,new,**********,28,C,21.28,4.59,pink,medium
PEI,1986-07-07,Mallet P. / Moriyasu M.,44,1,immature,72,116,24,12,new,**********,18,C,2.14,0.74,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,45,1,mature,82,216,35,19,old,*****2****,21,C,7.1,2.7,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,46,1,mature,115,496,55,29,new,**********,28,C,24.92,5.54,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,47,1,immature,99,326,38,19,new,*********1,25,C,7.12,1.92,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,48,1,immature,81,178,28,14,new,**********,19,C,3.39,1.1,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,49,1,mature,120,604,59,30,new,*******1**,29,C,27.39,6.28,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,50,1,mature,98,314,38,18,new,**********,25,C,6.93,2.43,pink,medium
PEI,1986-07-07,Mallet P. / Moriyasu M.,51,1,mature,94,300,40,21,new,***1******,22,C,10.04,4.14,pink,medium
PEI,1986-07-07,Mallet P. / Moriyasu M.,52,1,immature,89,222,32,18,new,**********,22,C,4.69,1.54,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,53,1,immature,92,246,32,17,new,**********,22,C,4.62,1.35,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,54,1,mature,82,244,36,18,old,**1*******,21,,7.14,2.53,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,55,1,immature,83,178,29,15,new,**********,21,C,3.6,1.185,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,56,1,mature,127,786,64,34,new,**********,29,C,36.5,7.25,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,57,1,mature,82,226,37,19,old,**1*******,22,C,7.78,3.05,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,58,1,immature,105,402,39,19,new,**********,25,C,7.6,2.21,white,
PEI,1986-07-07,Mallet P. / Moriyasu M.,59,1,mature,75,206,33,17,old,*22*******,20,C,6.12,,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,60,1,immature,92,272,35,19,new,**********,23,C,5.9,1.66,white,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,61,1,mature,91,300,41,20,old,*****2*1**,24,C,10.99,4.05,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,62,1,immature,94,284,39,19,new,**********,23,C,8.67,2.31,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,63,1,mature,83,210,34,18,old,*****1****,22,C,7.13,2.75,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,64,1,immature,92,238,36,17,new,**********,22,C,5.52,1.5,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,65,1,immature,91,238,32,17,new,**********,21,C,4.64,1.33,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,66,1,mature,72,136,29,15,old,2*1***1***,18,C,3.98,1.51,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,67,1,immature,88,212,32,16,new,**********,,C,4.27,1.43,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,68,1,immature,100,312,39,19,new,**********,25,C,7.24,1.83,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,69,1,immature,119,542,56,29,new,**********,27,C,22.94,4.1,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,70,1,mature,65,108,26,13,old,1*********,18,C,2.51,0.84,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,71,1,mature,87,256,40,21,old,1***1*****,22,C,10.2,3.97,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,72,1,immature,88,218,31,16,new,**********,22,C,4.28,1.38,white,
PEI,1986-07-07,Mallet P. / Moriyasu M.,73,1,mature,66,122,29,15,old,**********,15,C,3.94,1.55,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,74,1,immature,95,320,36,19,old,**********,23,C,6.36,2.29,pink,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,75,1,mature,92,286,42,21,new,**********,23,C,9.48,2.46,white,soft
PEI,1986-07-07,Mallet P. / Moriyasu M.,76,1,immature,96,286,35,17,old,***1*****1,24,,5.81,2.05,,hard
PEI,1986-07-07,Mallet P. / Moriyasu M.,77,1,immature,90,262,34,17,new,**********,23,,5,1.59,white,
PEI,1986-07-07,Mallet P. / Moriyasu M.,78,1,mature,85,282,42,21,old,******1***,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,79,1,mature,77,200,32,16,old,*****1****,20,C,5.77,2.17,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,80,1,mature,87,282,40,21,old,**********,25,C,9.4,3.75,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,81,1,immature,83,232,35,17,old,**********,24,C,5.88,2.22,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,82,1,mature,70,156,29,15,old,*****2****,20,C,4.17,1.56,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,83,1,mature,77,200,33,17,old,1*********,23,C,5.89,2.05,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,84,1,mature,78,222,35,18,old,*****2****,21,C,6.5,2.29,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,85,1,mature,84,244,38,19,old,**********,23,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,86,1,mature,82,238,36,17,old,**11******,23,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,87,1,mature,71,164,29,15,old,**********,20,C,4.09,1.41,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,88,1,immature,88,256,38,18,old,1*********,,C,7.32,2.81,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,89,1,immature,87,230,35,18,old,**1*******,24,C,6.96,2.62,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,90,1,immature,90,236,35,18,old,**1***1***,25,C,6.43,1.84,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,91,1,mature,82,234,34,17,old,**********,25,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,92,1,mature,86,202,37,18,old,*1********,26,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,93,1,immature,78,196,26,12,old,**********,23,C,2.91,1.22,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,94,1,mature,91,286,43,20,old,*****2****,27,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,95,1,mature,79,228,37,18,old,**********,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,96,1,mature,80,236,36,14,old,**********,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,97,1,mature,70,138,28,13,old,1*********,21,C,3.67,1.3,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,98,1,mature,70,128,30,13,old,**1*******,21,C,3.82,1.42,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,99,1,mature,83,256,36,19,old,*****2****,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,100,1,mature,76,174,34,17,old,*1*1******,21,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,101,1,mature,77,188,33,18,old,**********,21,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,102,1,mature,88,128,29,14,old,***1******,20,C,3.63,1.31,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,103,1,mature,83,236,38,18,old,1*********,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,104,1,mature,75,162,31,16,old,2*****1***,20,C,4.92,1.77,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,105,1,mature,76,174,34,18,old,***1******,21,C,5.96,2.21,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,106,1,,71,154,30,16,old,*****1****,21,C,4.48,1.7,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,107,1,mature,63,110,27,14,old,**********,20,C,3.1,0.96,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,108,1,mature,77,202,33,16,old,**********,23,C,5.69,2.17,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,109,1,mature,87,264,38,20,old,**********,23,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,110,1,mature,85,258,38,20,old,**********,23,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,111,1,mature,70,130,30,10,old,2****2****,20,C,1.14,0.52,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,112,1,mature,92,314,41,21,old,**********,25,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,113,1,mature,85,214,37,18,old,***1******,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,114,1,mature,79,216,37,19,old,*****2***1,22,C,7.64,2.73,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,115,1,mature,87,234,36,18,old,********1*,23,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,116,1,mature,80,214,36,18,old,**********,22,C,6.93,2.82,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,117,1,mature,80,230,36,18,old,**********,23,C,6.92,2.79,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,118,1,mature,67,114,29,14,old,1*********,19,C,3.66,1.4,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,119,1,mature,73,172,32,16,old,1*********,22,C,4.99,1.81,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,120,1,mature,84,228,38,19,old,*****1****,26,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,121,1,immature,88,232,33,14,old,*****1****,24,C,4.05,1.48,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,122,1,mature,87,264,39,21,old,*****1****,23,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,123,1,mature,88,242,36,17,old,*****1****,24,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,124,1,mature,104,496,49,24,old,****1*****,29,C,16.08,6.18,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,125,1,mature,108,508,49,24,old,******1***,30,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,126,1,mature,116,668,53,24,old,*1********,32,C,32.15,11.4,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,127,1,mature,100,436,48,25,old,**********,27,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,128,1,mature,122,796,65,33,old,**********,33,C,39.11,13.24,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,129,1,mature,102,434,52,27,old,**********,28,C,19.27,7.52,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,130,1,mature,100,514,50,25,old,**********,29,C,18.2,6.78,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,131,1,mature,117,630,57,28,old,******1***,33,C,26.48,10.2,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,132,1,mature,107,520,52,26,old,***1******,30,C,18.8,7.07,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,133,1,mature,127,834,62,32,old,**********,33,C,37.44,13.75,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,134,1,mature,102,460,50,25,old,**********,29,C,18.41,6.46,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,135,1,mature,100,388,45,23,old,**********,28,,,,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,136,1,mature,111,642,57,28,old,**********,31,C,25.4,8.15,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,137,1,mature,103,554,49,26,old,**********,30,C,19.97,7.55,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,138,1,mature,106,532,51,27,old,**********,29,C,20.66,7.76,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,139,1,mature,110,584,57,29,old,**********,28,C,26.58,9.44,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,140,1,mature,103,556,49,26,old,**********,28,C,22.03,8.02,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,141,1,mature,116,588,56,29,old,*1********,33,C,26.3, ,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,142,1,mature,113,616,55,28,old,*********1,29,C,25.76,9.26,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,143,1,mature,118,656,60,30,old,**********,33,C,31.55,11.54,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,144,1,mature,106,464,52,23,old,**********,30,C,17.37,6.79,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,145,1,mature,118,746,57,28,old,**********,32,C,27.38,9.53,,
PEI,1986-07-07,Mallet P. / Moriyasu M.,146,1,mature,125,782,60,32,old,**********,31,C,36.47,11.89,,
