"species","fit.measure","NoSex-0","NoSex-1","NoSex-2","NoSex-3","Sex-0","Sex-1","Sex-2","Sex-3","Sex-4","Sex-5"
10,"AIC",-130215.440928112,-131500.799765326,-131501.689425663,-137130.557747994,-130219.52835313,-130225.181103886,NA,NA,NA,NA
10,"BIC",-130186.525718319,-131462.246152269,-131453.497409341,-137092.004134936,-130180.974740073,-130176.989087564,NA,NA,NA,NA
12,"AIC",-37977.5363008619,-37976.2024033971,-38380.1840007214,-39108.5165874373,-38044.8754103719,-39061.2880108294,-38042.8856623908,-39164.3713300164,-40202.5901498048,NA
12,"BIC",-37952.30547576,-37942.5613032612,-38338.1326255515,-39074.8754873014,-38011.234310236,-39019.2366356596,-38000.8342872209,-39088.6788547106,-40152.128499601,NA
14,"AIC",-326.732406157953,-330.658860202961,-335.096514326238,-337.273930188405,NA,NA,NA,NA,NA,NA
14,"BIC",-313.283084103581,-312.726430797132,-312.680977568952,-319.341500782576,NA,NA,NA,NA,NA,NA
16,"AIC",-491.626653004323,-490.854143260718,-490.981872396678,-524.428899901794,NA,NA,NA,NA,NA,NA
16,"BIC",-480.027248833524,-475.388271032985,-471.649532112012,-508.96302767406,NA,NA,NA,NA,NA,NA
23,"AIC",-18809.0251173898,-19188.8247066058,-19404.7056997343,-20475.61399956,-18920.7063250616,-19007.7276263488,NA,NA,NA,NA
23,"BIC",-18784.54491975,-19156.1844430861,-19363.9053703347,-20442.9737360403,-18888.0660615418,-18966.9272969492,NA,NA,NA,NA
30,"AIC",-2645.83461158731,-2732.80020234027,-2736.76235162868,-2848.26671483187,-2688.3416104466,-2737.19060674373,NA,NA,NA,NA
30,"BIC",-2629.42052232275,-2710.91474998752,-2709.40553618774,-2826.38126247912,-2666.45615809385,-2709.83379130279,NA,NA,NA,NA
31,"AIC",-15903.3575681019,-16043.7623801153,-16047.5190075706,-16474.299400781,-15987.3838070402,-16212.1081730273,NA,NA,NA,NA
31,"BIC",-15881.0645655729,-16014.0383767433,-16010.3640033556,-16444.5753974091,-15957.6598036682,-16174.9531688123,NA,NA,NA,NA
40,"AIC",-147198.161158934,-155416.636708714,-156154.315672742,-166772.884759155,-147906.708080189,-152885.714395238,-155719.333227344,-160914.535222605,-172997.029938397,-178543.841950676
40,"BIC",-147167.738317078,-155376.072919572,-156103.610936314,-166732.320970013,-147866.144291046,-152835.00965881,-155668.628490916,-160823.266697035,-172936.184254684,-178401.868688678
41,"AIC",-11855.8810271024,-12299.2003115084,-12431.829635427,-12572.1668862285,-11970.2274181915,-12209.8508115225,-12383.1371012946,-12659.9977004752,-12826.6351006913,-12918.5812848774
41,"BIC",-11833.7998361979,-12269.7587236356,-12395.0276505861,-12542.7252983557,-11940.7858303187,-12173.0488266816,-12346.3351164536,-12593.7541277616,-12782.4727188822,-12815.5357273228
42,"AIC",-39070.2139860287,-39400.2345834427,-39398.5813955837,-41837.2180270123,-39163.1093344717,-39416.4344770024,-39558.9905780089,-39790.6196874735,-42236.039136194,-42365.2926632067
42,"BIC",-39044.5945072547,-39366.0752784106,-39355.8822642936,-41803.0587219802,-39128.9500294396,-39373.7353457123,-39516.2914467188,-39713.7612511513,-42184.8001786458,-42245.7350955944
43,"AIC",-47749.1585560636,-48277.8587937134,-48377.833719129,-51168.1353593127,-47755.0259356365,-48315.1269463335,-48291.5181846867,-48854.9852921628,-51752.8848772972,-52361.7395897414
43,"BIC",-47723.5012129389,-48243.6490028805,-48335.0714805879,-51133.9255684798,-47720.8161448037,-48272.3647077925,-48248.7559461457,-48778.013262789,-51701.5701910479,-52242.0053218265
50,"AIC",-814.002785608884,-817.718346366129,-819.04791678263,-816.08640340591,NA,NA,NA,NA,NA,NA
50,"BIC",-800.227764412858,-799.351651438094,-796.089548122586,-797.719708477875,NA,NA,NA,NA,NA,NA
60,"AIC",-9125.46184922408,-17426.4333658046,-17456.6498824115,-22686.1221163559,NA,NA,NA,NA,NA,NA
60,"BIC",-9101.08423677937,-17393.929882545,-17416.0205283369,-22653.6186330963,NA,NA,NA,NA,NA,NA
63,"AIC",-1743.11095250277,-1744.53416330636,-1744.13249297202,-2038.13592593695,NA,NA,NA,NA,NA,NA
63,"BIC",-1723.47827891137,-1718.35726518449,-1711.41137031968,-2011.95902781508,NA,NA,NA,NA,NA,NA
64,"AIC",844.393003380323,845.970979062127,827.241852586123,530.90941257609,NA,NA,NA,NA,NA,NA
64,"BIC",866.329798355417,875.220039028919,863.803177544614,560.158472542882,NA,NA,NA,NA,NA,NA
70,"AIC",-3549.68626271489,-3935.45142478838,-3945.27666863311,-4325.19389274591,NA,NA,NA,NA,NA,NA
70,"BIC",-3530.75206787958,-3910.20583167463,-3913.71967724093,-4299.94829963216,NA,NA,NA,NA,NA,NA
112,"AIC",-369.283029179271,-379.08128349338,-381.921738084103,-410.473775828509,NA,NA,NA,NA,NA,NA
112,"BIC",-354.25209357735,-359.040036024151,-356.870178747567,-390.43252835928,NA,NA,NA,NA,NA,NA
114,"AIC",-753.515827426025,-786.598230695606,-785.018643334265,-820.611418520717,NA,NA,NA,NA,NA,NA
114,"BIC",-736.126419696767,-763.412353723262,-756.036297118834,-797.425541548373,NA,NA,NA,NA,NA,NA
118,"AIC",-1521.44722973792,-1525.46766870558,-1527.73110226392,-1576.90569519128,NA,NA,NA,NA,NA,NA
118,"BIC",-1504.43035237104,-1502.77849888307,-1499.36963998578,-1554.21652536876,NA,NA,NA,NA,NA,NA
122,"AIC",-798.228626562718,-796.356517041027,-795.855351803547,-836.834552805605,NA,NA,NA,NA,NA,NA
122,"BIC",-782.757757468871,-775.728691582565,-770.070569980469,-816.206727347142,NA,NA,NA,NA,NA,NA
143,"AIC",-2016.51391580702,-2016.74409815712,-2023.77839822452,-2154.71189115613,-2016.41506279634,-2022.65742318463,-2017.21419580367,-2045.79522655843,-2158.14420140848,NA
143,"BIC",-1998.55134236747,-1992.79400023772,-1993.84077582528,-2130.76179323674,-1992.46496487694,-1992.71980078539,-1987.27657340442,-1991.90750623979,-2122.21905452938,NA
201,"AIC",-1121.43394127147,-1445.52018536422,-1449.0473781357,-1540.28621276475,-1123.73891721983,-1138.54210863262,NA,NA,NA,NA
201,"BIC",-1098.46118022917,-1414.88983730782,-1410.7594430652,-1509.65586470835,-1093.10856916343,-1100.25417356213,NA,NA,NA,NA
202,"AIC",-60.3186799105033,-111.911067103882,-112.647212435745,-138.640735846496,-58.4556397314748,-60.3866289047158,NA,NA,NA,NA
202,"BIC",-42.5847078536132,-88.2657710280285,-83.0905923409283,-114.995439770643,-34.8103436556214,-30.8300088098991,NA,NA,NA,NA
204,"AIC",-426.954540867351,-431.22013871262,-434.325214382708,-445.33607850083,-438.679344657267,-438.782903824487,NA,NA,NA,NA
204,"BIC",-410.154834989726,-408.820530875786,-406.325704586666,-422.936470663996,-416.279736820433,-410.783394028444,NA,NA,NA,NA
220,"AIC",-2138.48782605233,-2137.14824054374,-2168.4198110476,-2228.08825031171,-2332.26136171906,-2367.46436012145,NA,NA,NA,NA
220,"BIC",-2120.77482152608,-2113.5309011754,-2138.89813683718,-2204.47091094337,-2308.64402235072,-2337.94268591103,NA,NA,NA,NA
300,"AIC",-8495.71136343492,-8493.8471367317,-8496.25817081598,-9876.11866687864,NA,NA,NA,NA,NA,NA
300,"BIC",-8473.41739867354,-8464.1218503832,-8459.10156288035,-9846.39338053014,NA,NA,NA,NA,NA,NA
610,"AIC",4.30881635590684,-36.6505530650296,-109.581665432643,-204.969333981462,NA,NA,NA,NA,NA,NA
610,"BIC",21.6321228868157,-13.5528110238178,-80.709487881128,-181.87159194025,NA,NA,NA,NA,NA,NA
2526,"AIC",20176.0522298231,19808.4057513188,16199.3114393518,19790.9704191962,17204.8269962112,16869.8408571869,NA,NA,NA,NA
2526,"BIC",20202.1196664544,19843.1623334939,16242.7571670707,19825.7270013713,17239.5835783863,16913.2865849057,NA,NA,NA,NA
2550,"AIC",203.124486718667,174.519832159416,163.300259053045,95.2627673645907,203.696228892888,205.693303439314,NA,NA,NA,NA
2550,"BIC",210.522211074631,184.383464634034,175.629799646318,105.126399839209,213.559861367506,218.022844032587,NA,NA,NA,NA
